dot_name,ansii_name,hid_level,hierarchy_name_id,parentid,hierarchy_name_set_id,shape_id,shape_set_id,shape_class,valid_from,valid_to,raster_notes,st_stats_sum_population
Africa:Guinea,GUINEA,3,233,5,1,230,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,9919163.628
Africa:Sierra Leone,SIERRA LEONE,3,44,5,1,41,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,5806748.099
Africa:Guinea:Boké,BOKE,4,435,233,1,432,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,982621.7967
Africa:Guinea:Conarky,CONARKY,4,436,233,1,433,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1425714.856
Africa:Guinea:Faranah,FARANAH,4,437,233,1,434,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,747831.7726
Africa:Guinea:Kankan,KANKAN,4,438,233,1,435,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1404762.98
Africa:Guinea:Kindia,KINDIA,4,439,233,1,436,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1548337.739
Africa:Guinea:Labé,LABE,4,440,233,1,437,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,879740.3756
Africa:Guinea:Mamou,MAMOU,4,471,233,1,468,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,768138.1894
Africa:Guinea:Nzérékoré,NZEREKORE,4,441,233,1,438,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,2133836.851
Africa:Sierra Leone:Eastern,EASTERN,4,1457,44,1,1454,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1441455.379
Africa:Sierra Leone:Northern,NORTHERN,4,1458,44,1,1455,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1996064.785
Africa:Sierra Leone:Southern,SOUTHERN,4,1459,44,1,1456,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1247993.069
Africa:Sierra Leone:Western,WESTERN,4,1460,44,1,1457,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1110294.233
Africa:Guinea:Boké:Boffa,BOFFA,5,4116,435,1,4113,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,183471.0171
