"Country","Age Group","Gender","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Data as of","Display Value","Numeric","Low","High","Comments"
"Guinea","0-14","Both sexes","","Number of cases","Confirmed and probable case total","","","Cumulative","Data package 2015-01-21","","443","443.00000","","",""
"Guinea","15-44","Both sexes","","Number of cases","Confirmed and probable case total","","","Cumulative","Data package 2015-01-21","","1572","1572.00000","","",""
"Guinea","45+","Both sexes","","Number of cases","Confirmed and probable case total","","","Cumulative","Data package 2015-01-21","","742","742.00000","","",""
"Guinea","","","","Number of cases","Confirmed","","","Cumulative","Data package 2015-01-21","18 January 2015","2539","2539.00000","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","27 January to 02 February 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","27 January to 02 February 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","03 to 09 February 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","03 to 09 February 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","24 to 30 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","24 to 30 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","31 March to 06 April 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","31 March to 06 April 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","07 to 13 April 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","19 to 25 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","26 May to 01 June 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","26 May to 01 June 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","02 to 08 June 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","21 to 27 July 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","21 to 27 July 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","28 July to 03 August 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","28 July to 03 August 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","15 to 21 September 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","22 to 28 September 2014","New","Data package 2015-01-21","","1","1.00000","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","22 to 28 September 2014","New","Data package 2015-01-21","","1","1.00000","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","29 September to 05 October 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","10 to 16 November 2014","New","Data package 2015-01-21","","2","2.00000","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","17 to 23 November 2014","New","Data package 2015-01-21","","3","3.00000","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","17 to 23 November 2014","New","Data package 2015-01-21","","4","4.00000","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","24 to 30 November 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Patient database","12 to 18 January 2015","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BEYLA","Number of cases","Confirmed","Situation report","12 to 18 January 2015","New","Data package 2015-01-21","","0","0.00000","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","30 December 2013 to 05 January 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","30 December 2013 to 05 January 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","17 to 23 February 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","24 February to 02 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","24 February to 02 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","03 to 09 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","14 to 20 April 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","21 to 27 April 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","21 to 27 April 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","28 April to 04 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","28 April to 04 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","16 to 22 June 2014","New","Data package 2015-01-21","","3","3.00000","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","16 to 22 June 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","23 to 29 June 2014","New","Data package 2015-01-21","","2","2.00000","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","23 to 29 June 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","11 to 17 August 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","18 to 24 August 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","18 to 24 August 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","25 to 31 August 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","13 to 19 October 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","13 to 19 October 2014","New","Data package 2015-01-21","","0","0.00000","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","20 to 26 October 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","20 to 26 October 2014","New","Data package 2015-01-21","","0","0.00000","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","08 to 14 December 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","08 to 14 December 2014","New","Data package 2015-01-21","","0","0.00000","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Patient database","15 to 21 December 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOFFA","Number of cases","Confirmed","Situation report","15 to 21 December 2014","New","Data package 2015-01-21","","0","0.00000","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","13 to 19 January 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","20 to 26 January 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","20 to 26 January 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","27 January to 02 February 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","17 to 23 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","17 to 23 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","24 to 30 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","24 to 30 March 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","12 to 18 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","12 to 18 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","19 to 25 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","19 to 25 May 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Patient database","26 May to 01 June 2014","New","Data package 2015-01-21","","","","","",""
"Guinea","","","BOKE","Number of cases","Confirmed","Situation report","07 to 13 July 2014","New","Data package 2015-01-21","","","","","",""
