"Country","Age Group","Gender","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Data as of","Display Value","Numeric","Low","High","Comments"
"Liberia","","","","Number of cases","Confirmed","","","Cumulative","Data package 2015-03-25","22 March 2015","3151","3151.00000","","",""
"Liberia","All ages (total)","Male","","Number of cases","Confirmed and probable case total","","","Cumulative","Data package 2015-03-25","","2897","2897.00000","","",""
"Liberia","All ages (total)","Female","","Number of cases","Confirmed and probable case total","","","Cumulative","Data package 2015-03-25","","2845","2845.00000","","",""
"Liberia","","","","Number of cases","Confirmed","","","In past 21 days","Data package 2015-03-25","22 March 2015","1","1.00000","","",""
"Liberia","","","","Number of cases","Probable","","","In past 21 days","Data package 2015-03-25","22 March 2015","Not reported","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"Liberia","","","","Number of cases","Confirmed","Patient database","20 to 26 January 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","27 January to 02 February 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","03 to 09 February 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","10 to 16 February 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","19 to 25 May 2014","New","Data package 2015-03-25","","1","1.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","26 May to 01 June 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","02 to 08 June 2014","New","Data package 2015-03-25","","3","3.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","09 to 15 June 2014","New","Data package 2015-03-25","","17","17.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","08 to 14 September 2014","New","Data package 2015-03-25","","319","319.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","15 to 21 September 2014","New","Data package 2015-03-25","","311","311.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","22 to 28 September 2014","New","Data package 2015-03-25","","327","327.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","29 September to 05 October 2014","New","Data package 2015-03-25","","207","207.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","06 to 12 October 2014","New","Data package 2015-03-25","","184","184.00000","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","05 to 11 January 2015","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","12 to 18 January 2015","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","19 to 25 January 2015","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Patient database","26 January to 01 February 2015","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Situation report","10 to 16 February 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Situation report","17 to 23 February 2014","New","Data package 2015-03-25","","","","","",""
"Liberia","","","","Number of cases","Confirmed","Situation report","24 February to 02 March 2014","New","Data package 2015-03-25","","0","0.00000","","","Data provided directly by Ministry of health"
"Liberia","","","","Number of cases","Confirmed","Situation report","03 to 09 March 2014","New","Data package 2015-03-25","","0","0.00000","","","Data provided directly by Ministry of health"
"Liberia","","","","Number of cases","Confirmed","Situation report","09 to 15 June 2014","New","Data package 2015-03-25","","15","15.00000","","","Data provided directly by Ministry of health"
"Liberia","","","","Number of cases","Confirmed","Situation report","16 to 22 June 2014","New","Data package 2015-03-25","","26","26.00000","","","Data provided directly by Ministry of health"
"Liberia","","","","Number of cases","Confirmed","Situation report","23 to 29 June 2014","New","Data package 2015-03-25","","25","25.00000","","","Data provided directly by Ministry of health"
"Liberia","","","","Number of cases","Confirmed","Situation report","30 June to 06 July 2014","New","Data package 2015-03-25","","20","20.00000","","","Data provided directly by Ministry of health"
